Deficit Calorico,Tiempo Entrenamiento (min)
500,30
600,35
700,40
800,45
900,50
1000,55
1100,60
1200,65
1300,70
1400,75
1500,80
1600,85
1700,90
1800,95
1900,100
2000,105
2100,110
2200,115
2300,120
2400,125
2500,130
2600,135
2700,140
2800,145
2900,150
3000,155
3100,160
3200,165
3300,170
3400,175
3500,180
3600,185
3700,190
3800,195
3900,200
4000,205
4100,210
4200,215
4300,220
4400,225
4500,230
4600,235
4700,240
4800,245
4900,250
5000,255
5100,260
5200,265
5300,270
5400,275
5500,280
5600,285
5700,290
5800,295
5900,300
6000,305
6100,310
6200,315
6300,320
6400,325
6500,330
6600,335
6700,340
6800,345
6900,350
7000,355
7100,360
